# t  cA_high  cB_high  cC_high  err_norm
15.3 2.73523e-07 3.03915e-08 1 8.18861e-08
15.35 2.60343e-07 2.8927e-08 1 7.82191e-08
15.4 2.47799e-07 2.75332e-08 1 7.47155e-08
15.45 2.35858e-07 2.62065e-08 1 7.1368e-08
15.5 2.24493e-07 2.49437e-08 1 6.81699e-08
15.55 2.13676e-07 2.37418e-08 1 6.51143e-08
15.6 2.0338e-07 2.25978e-08 1 6.21951e-08
15.65 1.9358e-07 2.15089e-08 1 5.94062e-08
15.7 1.84252e-07 2.04725e-08 1 5.67417e-08
15.75 1.75374e-07 1.9486e-08 1 5.41962e-08
15.8 1.66923e-07 1.8547e-08 1 5.17643e-08
15.85 1.5888e-07 1.76533e-08 1 4.94411e-08
15.9 1.51224e-07 1.68027e-08 1 4.72217e-08
15.95 1.43937e-07 1.59931e-08 1 4.51015e-08
16 1.37002e-07 1.52224e-08 1 4.3076e-08
16.05 1.304e-07 1.44889e-08 1 4.11412e-08
16.1 1.24117e-07 1.37908e-08 1 3.92928e-08
16.15 1.18136e-07 1.31262e-08 1 3.75271e-08
16.2 1.12444e-07 1.24937e-08 1 3.58404e-08
16.25 1.07026e-07 1.18917e-08 1 3.42292e-08
16.3 1.01868e-07 1.13187e-08 1 3.26902e-08
16.35 9.69599e-08 1.07733e-08 1 3.122e-08
16.4 9.22878e-08 1.02542e-08 1 2.98157e-08
16.45 8.78409e-08 9.7601e-09 1 2.84743e-08
16.5 8.36082e-08 9.2898e-09 1 2.71929e-08
16.55 7.95795e-08 8.84216e-09 1 2.5969e-08
16.6 7.57449e-08 8.4161e-09 1 2.48e-08
16.65 7.20951e-08 8.01056e-09 1 2.36834e-08
16.7 6.86211e-08 7.62457e-09 1 2.26168e-08
16.75 6.53146e-08 7.25718e-09 1 2.15981e-08
16.8 6.21674e-08 6.90748e-09 1 2.06251e-08
16.85 5.91718e-08 6.57464e-09 1 1.96958e-08
16.9 5.63206e-08 6.25784e-09 1 1.88081e-08
16.95 5.36067e-08 5.9563e-09 1 1.79603e-08
17 5.10237e-08 5.66929e-09 1 1.71506e-08
17.05 4.8565e-08 5.39612e-09 1 1.63772e-08
17.1 4.62249e-08 5.1361e-09 1 1.56386e-08
17.15 4.39975e-08 4.88861e-09 1 1.49332e-08
17.2 4.18775e-08 4.65305e-09 1 1.42594e-08
17.25 3.98596e-08 4.42884e-09 1 1.3616e-08
17.3 3.79389e-08 4.21544e-09 1 1.30014e-08
17.35 3.61108e-08 4.01231e-09 1 1.24145e-08
17.4 3.43708e-08 3.81898e-09 1 1.1854e-08
17.45 3.27146e-08 3.63496e-09 1 1.13188e-08
17.5 3.11383e-08 3.45981e-09 1 1.08075e-08
17.55 2.96378e-08 3.29309e-09 1 1.03193e-08
17.6 2.82097e-08 3.13441e-09 1 9.85312e-09
17.65 2.68504e-08 2.98338e-09 1 9.40788e-09
17.7 2.55566e-08 2.83962e-09 1 8.98269e-09
17.75 2.43252e-08 2.70279e-09 1 8.57665e-09
17.8 2.3153e-08 2.57256e-09 1 8.18889e-09
17.85 2.20374e-08 2.4486e-09 1 7.81861e-09
17.9 2.09755e-08 2.33061e-09 1 7.46501e-09
17.95 1.99648e-08 2.21831e-09 1 7.12735e-09
18 1.90028e-08 2.11142e-09 1 6.8049e-09
18.05 1.80871e-08 2.00968e-09 1 6.497e-09
18.1 1.72156e-08 1.91284e-09 1 6.20298e-09
18.15 1.6386e-08 1.82067e-09 1 5.92222e-09
18.2 1.55965e-08 1.73294e-09 1 5.65412e-09
18.25 1.48449e-08 1.64944e-09 1 5.39813e-09
18.3 1.41296e-08 1.56996e-09 1 5.15368e-09
18.35 1.34488e-08 1.49431e-09 1 4.92027e-09
18.4 1.28007e-08 1.4223e-09 1 4.69739e-09
18.45 1.21839e-08 1.35377e-09 1 4.48457e-09
18.5 1.15968e-08 1.28854e-09 1 4.28137e-09
18.55 1.1038e-08 1.22645e-09 1 4.08734e-09
18.6 1.05062e-08 1.16735e-09 1 3.90208e-09
18.65 9.99992e-09 1.1111e-09 1 3.72519e-09
18.7 9.51807e-09 1.05756e-09 1 3.55629e-09
18.75 9.05943e-09 1.0066e-09 1 3.39503e-09
18.8 8.6229e-09 9.581e-10 1 3.24106e-09
18.85 8.2074e-09 9.11933e-10 1 3.09404e-09
